,Car Brand,Model,Price,Model Year,Location,Fuel,Driven (Kms),Gear,Ownership,EMI (monthly)
1383,Renault,RXL,380000,2020,Delhi,Petrol,31471,Manual,1,7429
1384,Honda,1.5L I-DTEC VX,673000,2018,Delhi,Diesel,67519,Manual,1,13157
1385,Maruti,ZETA PETROL 1.2,629000,2019,Delhi,Petrol,33459,Manual,2,12297
1386,Maruti,VXI,352000,2013,Delhi,Petrol,49572,Manual,1,6882
1387,Tata,XT PETROL,662000,2018,Delhi,Petrol,47553,Manual,1,12942
1388,Maruti,VXI,621000,2014,Delhi,Petrol,52361,Manual,2,12141
1389,Maruti,VXI,483000,2017,Delhi,Petrol,14097,Manual,2,9443
1390,Tata,XZA PETROL,450000,2017,Delhi,Petrol,45388,Automatic,2,8798
1391,KIA,GTX PLUS DCT 1.4 PETROL,1473000,2019,Delhi,Petrol,26434,Automatic,1,28037
1392,Maruti,VXI,395000,2015,Delhi,Petrol,86630,Manual,2,7722
1393,Honda,1.2L I-VTEC S,401000,2015,Delhi,Petrol,52100,Manual,1,7840
1394,Maruti,LXI,208000,2012,Delhi,Petrol,89899,Manual,1,4066
1395,Maruti,VXI,341000,2017,Delhi,Petrol,75047,Manual,1,6667
1396,Maruti,ZETA 1.3,674000,2018,Delhi,Diesel,76701,Manual,1,13177
1397,Hyundai,SPORTZ 1.2 KAPPA VTVT,416000,2015,Delhi,Petrol,33873,Manual,1,8133
1398,Maruti,LXI CNG 1.0 L,536000,2020,Delhi,CNG,62629,Manual,1,10479
1399,Maruti,VXI,214000,2012,Delhi,Petrol,87214,Manual,1,4184
1400,Hyundai,SPORTZ 1.2 KAPPA VTVT,441000,2017,Delhi,Petrol,63011,Manual,1,8622
1401,Honda,1.2L I-VTEC SX,506000,2016,Delhi,Petrol,43841,Manual,1,9892
1402,Hyundai,MAGNA AT 1.2 KAPPA VTVT,533000,2019,Delhi,Petrol,52929,Automatic,1,10420
1403,Renault,110 PS RXZ 4X4 MT DIESEL,732000,2019,Delhi,Diesel,100579,Manual,2,14311
1404,Hyundai,MAGNA (O) 1.2,297000,2013,Delhi,Petrol,94424,Manual,1,5806
1405,Maruti,LXI,143000,2010,Delhi,Petrol,92939,Manual,1,2796
1406,Hyundai,SX PLUS 1.2 AMT,772000,2020,Delhi,Petrol,26202,Automatic,1,15093
1407,Maruti,LXI CNG 1.0,511000,2020,Delhi,CNG,48884,Manual,2,9990
1408,Maruti,ZXI AMT (O),442000,2016,Delhi,Petrol,73328,Automatic,1,8641
1409,Maruti,ZXI AMT,484000,2018,Delhi,Petrol,40344,Automatic,1,9462
1410,Hyundai,MAGNA AT 1.2 KAPPA VTVT,493000,2017,Delhi,Petrol,64826,Automatic,1,9638
1411,Honda,S MT PETROL,402000,2012,Delhi,Petrol,45297,Manual,1,7859
1412,Honda,1.5L I-VTEC VX,916000,2019,Delhi,Petrol,23277,Manual,2,17435
1413,Ford,TITANIUM 1.5L SIGNATURE EDITION (SUNROOF) PETROL,915000,2019,Delhi,Petrol,21278,Manual,1,17416
1414,Maruti,VXI,352000,2014,Delhi,Petrol,80888,Manual,1,6882
1415,Maruti,ALPHA PETROL 1.2,732000,2021,Delhi,Petrol,19503,Manual,2,14311
1416,Honda,1.2L I-VTEC V,574000,2018,Delhi,Petrol,21766,Manual,1,11222
1417,Hyundai,2WD MT PETROL,1454000,2018,Delhi,Petrol,42864,Manual,1,27676
1418,Maruti,DELTA 1.4 VVT AMT,748000,2018,Delhi,Petrol,27737,Automatic,1,14624
1419,Hyundai,SPORTZ 1.2 KAPPA VTVT CNG,643000,2020,Delhi,CNG,64847,Manual,1,12571
1420,Hyundai,SPORTZ MT,445000,2019,Delhi,Petrol,46370,Manual,2,8700
1421,Maruti,VXI,531000,2018,Delhi,Petrol,38982,Manual,2,10381
1422,Maruti,LXI,252000,2013,Delhi,Petrol,36044,Manual,2,4927
1423,Hyundai,MAGNA 1.2 KAPPA VTVT,451000,2018,Delhi,Petrol,28447,Manual,1,8817
1424,Tata,XM PETROL,666000,2019,Delhi,Petrol,56232,Manual,1,13020
1425,Honda,1.2L I-VTEC S,443000,2017,Delhi,Petrol,49820,Manual,2,8661
1426,Hyundai,SX 1.6 PETROL,934000,2018,Delhi,Petrol,65148,Manual,1,17778
1427,Maruti,VXI,361000,2014,Delhi,Petrol,48522,Manual,2,7058
1428,Ford,TREND 1.5L PETROL,453000,2014,Delhi,Petrol,50432,Manual,1,8856
1429,Maruti,VXI,576000,2019,Delhi,Petrol,88104,Manual,1,11261
1430,Maruti,VXI,629000,2014,Delhi,Petrol,86898,Manual,1,12297
1431,Honda,1.5L I-VTEC SV CVT,584000,2015,Delhi,Petrol,85501,Automatic,1,11417
1432,Hyundai,S 1.2,528000,2018,Delhi,Petrol,12896,Manual,1,10323
1433,Honda,S MT,245000,2013,Delhi,Petrol,76756,Manual,2,4790
1434,Maruti,VXI,345000,2013,Delhi,Petrol,49754,Manual,1,6745
1435,Hyundai,1.2 S,626000,2018,Delhi,Petrol,58574,Manual,1,12238
1436,Maruti,VXI,390000,2014,Delhi,Petrol,6331,Manual,1,7625
1437,Hyundai,MAGNA 1.4 AT,646000,2016,Delhi,Petrol,60937,Automatic,1,12629
1438,Honda,1.2 i-VTEC VX MT,776000,2019,Delhi,Petrol,16859,Manual,1,15171
1439,Honda,S MT,263000,2013,Delhi,Petrol,56545,Manual,2,5142
1440,Honda,1.5L I-VTE V CVT,890000,2018,Delhi,Petrol,31071,Automatic,1,16940
1441,Hyundai,SX AT 1.6 PETROL,1056000,2019,Delhi,Petrol,58139,Automatic,1,20100
1442,Maruti,ZXI PLUS,578000,2018,Delhi,Petrol,66688,Manual,2,11300
1443,Maruti,LXI,544000,2018,Delhi,Petrol,48162,Manual,1,10635
1444,Maruti,LXI,556000,2021,Delhi,Petrol,51558,Manual,1,10870
1445,Maruti,ALPHA CVT PETROL 1.2,696000,2018,Delhi,Petrol,38540,Automatic,1,13607
1446,Honda,1.5L I-VTEC VX CVT,650000,2015,Delhi,Petrol,74169,Automatic,1,12708
1447,Hyundai,SPORTZ (O) 1.2 KAPPA VTVT,451000,2017,Delhi,Petrol,70336,Manual,1,8817
1448,Honda,1.2L I-VTEC V AT,591000,2017,Delhi,Petrol,25244,Automatic,1,11554
1449,Hyundai,SPORTZ AMT 1.2 KAPPA VTVT,666000,2019,Delhi,Petrol,22401,Automatic,1,13020
1450,Tata,XZA PLUS (O) PETROL,1147000,2021,Delhi,Petrol,18515,Automatic,1,21832
1451,Maruti,LXI OPT CNG,400000,2020,Delhi,CNG,25115,Manual,1,7820
1452,Renault,110 PS RXZ 4X2 AMT DIESEL,691000,2018,Delhi,Diesel,75114,Automatic,2,13509
1453,Hyundai,S 1.2,638000,2020,Delhi,Petrol,22599,Manual,1,12473
1454,Maruti,DELTA 1.2 AMT,482000,2018,Delhi,Petrol,49158,Automatic,2,9423
1455,Maruti,ZETA AT 1.5  SHVS PETROL,775000,2018,Delhi,Petrol,68100,Automatic,2,15151
1456,Maruti,VXI,430000,2017,Delhi,Petrol,76039,Manual,1,8407
1457,Hyundai,MAGNA 1.2,177000,2011,Delhi,Petrol,104145,Manual,1,3460
1458,Ford,TITANIUM 1.5L DIESEL,584000,2017,Delhi,Diesel,48692,Manual,1,11417
1459,Maruti,VXI,297000,2015,Delhi,Petrol,70766,Manual,1,5806
1460,Maruti,VXI CNG,410000,2018,Delhi,CNG,55085,Manual,2,8016
1461,Maruti,LXI,148000,2010,Delhi,Petrol,18589,Manual,1,2893
1462,Volkswagen,HIGHLINE PLUS 1.5 AT 16 ALLOY,878000,2018,Delhi,Diesel,76290,Automatic,2,16712
1463,Maruti,ZETA PETROL 1.2,626000,2019,Delhi,Petrol,88750,Manual,1,12238
1464,Honda,1.5L I-VTEC VX,654000,2016,Delhi,Petrol,71321,Manual,2,12786
1465,Hyundai,MAGNA 1.1,292000,2015,Delhi,Petrol,71205,Manual,2,5709
1466,Maruti,DELTA PETROL 1.2,557000,2019,Delhi,Petrol,53360,Manual,1,10889
1467,Honda,1.5L I-VTEC SV,542000,2014,Delhi,Petrol,31527,Manual,1,10596
1468,Hyundai,MAGNA (O) 1.2,319000,2013,Delhi,Petrol,67463,Manual,1,6237
1469,Maruti,VXI,410000,2015,Delhi,Petrol,81083,Manual,1,8016
1470,Honda,1.2L I-VTEC BASE,190000,2010,Delhi,Petrol,97943,Manual,1,3715
1471,Toyota,1.8 G,371000,2011,Delhi,Petrol,100075,Manual,2,7253
1472,Maruti,DELTA PETROL 1.2,514000,2016,Delhi,Petrol,44779,Manual,2,10049
1473,Honda,V MT PETROL,654000,2016,Delhi,CNG,87392,Manual,1,12786
1474,Honda,VX MT,255000,2013,Delhi,Petrol,68384,Manual,1,4985
1475,Honda,1.2L I-VTEC S,621000,2018,Delhi,Petrol,29466,Manual,1,12141
1476,Skoda,STYLE TSI,928000,2020,Delhi,Petrol,113946,Manual,1,17664
1477,Hyundai,MAGNA EXECUTIVE 1.2,531000,2017,Delhi,Petrol,48063,Manual,1,10381
1478,Maruti,LXI (O),470000,2017,Delhi,Petrol,6746,Manual,1,9189
1479,Hyundai,MAGNA 1.2 KAPPA VTVT,458000,2017,Delhi,Petrol,31604,Manual,1,8954
1480,Honda,1.5L I-VTEC SV CVT,674000,2016,Delhi,Petrol,63915,Automatic,1,13177
1481,Renault,RXL 1.0 AMT,462000,2021,Delhi,Petrol,9263,Automatic,1,9032
1482,Hyundai,SPORTZ CNG MT,620000,2020,Delhi,CNG,44937,Manual,1,12121
1483,Maruti,VXI,534000,2018,Delhi,Petrol,62621,Manual,1,10440
